Designator,Mid X,Mid Y,Layer,Rotation
BT1,12.100142mm,43.5mm,Bottom,180.0
G1,45.794651mm,54.107713mm,Bottom,180.0
D1,11.9mm,58.35mm,Top,270.0
D2,15.4mm,58.35mm,Top,270.0
D3,17.7mm,58.35mm,Top,270.0
D4,21.1mm,58.35mm,Top,270.0
D5,23.4mm,58.35mm,Top,270.0
D6,26.9mm,58.35mm,Top,270.0
D7,29.2mm,58.35mm,Top,270.0
D8,32.6mm,58.35mm,Top,270.0
D9,6.1mm,58.35mm,Top,270.0
D10,9.6mm,58.35mm,Top,270.0
D11,17.5mm,30.5mm,Top,180.0
F1,10.2mm,66.5mm,Top,270.0
G2,58.2mm,69.3mm,Top,90.0
J1,31.55mm,68.5mm,Top,180.0
J2,12.4mm,33.8mm,Top,180.0
R1,12.2mm,47.75mm,Top,0.0
R2,15.1mm,47.75mm,Top,180.0
R3,17.9mm,47.75mm,Top,0.0
R4,20.8mm,47.75mm,Top,180.0
R5,23.7mm,47.7mm,Top,180.0
R6,29.5mm,47.75mm,Top,0.0
R7,26.6mm,47.7mm,Top,0.0
R8,32.4mm,47.75mm,Top,180.0
R9,6.4mm,47.75mm,Top,0.0
R10,9.3mm,47.75mm,Top,180.0
R11,9.6mm,73.1mm,Top,270.0
R12,10.9mm,73.1mm,Top,90.0
R13,21.5mm,10.3mm,Top,270.0
R14,48.323784mm,58.7925mm,Top,90.0
R15,45.820856mm,58.7925mm,Top,90.0
R16,43.317928mm,58.7925mm,Top,90.0
R17,40.815mm,58.7925mm,Top,90.0
R18,59.718784mm,58.680021mm,Top,90.0
R19,57.215856mm,58.680021mm,Top,90.0
R20,54.712928mm,58.680021mm,Top,90.0
R21,52.21mm,58.680021mm,Top,90.0
U1,13.665mm,52.225mm,Top,0.0
U2,19.365mm,52.225mm,Top,0.0
U3,25.165mm,52.225mm,Top,0.0
U4,30.965mm,52.225mm,Top,0.0
U5,7.865mm,52.225mm,Top,0.0
U6,44.415mm,52.105mm,Top,180.0
U7,55.725mm,52.13mm,Top,180.0
R148,48.475004999999996mm,9.775005mm,Bottom,0.0
R142,47.075005000000004mm,8.875005000000002mm,Bottom,0.0
U108,30.894805mm,41.966005mm,Top,180.0
VD103,28.075004999999997mm,37.380005000000004mm,Bottom,90.0
U101,56.125005mm,12.528605000000002mm,Top,90.0
C119,48.474905mm,17.255605000000003mm,Bottom,180.0
R147,39.463405mm,9.458705000000002mm,Bottom,180.0
R146,59.141105mm,10.875005000000002mm,Bottom,90.0
R141,46.075005000000004mm,8.875005000000002mm,Bottom,0.0
U102,51.018505mm,14.246505000000003mm,Bottom,0.0
