Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-12.100142,43.500000,180.000000,bottom
"G1","LOGO","LOGO",-45.794651,54.107713,180.000000,bottom
"D1","B5819W","SOD-123",11.900000,58.350000,-90.000000,top
"D2","B5819W","SOD-123",15.400000,58.350000,-90.000000,top
"D3","B5819W","SOD-123",17.700000,58.350000,-90.000000,top
"D4","B5819W","SOD-123",21.100000,58.350000,-90.000000,top
"D5","B5819W","SOD-123",23.400000,58.350000,-90.000000,top
"D6","B5819W","SOD-123",26.900000,58.350000,-90.000000,top
"D7","B5819W","SOD-123",29.200000,58.350000,-90.000000,top
"D8","B5819W","SOD-123",32.600000,58.350000,-90.000000,top
"D9","B5819W","SOD-123",6.100000,58.350000,-90.000000,top
"D10","B5819W","SOD-123",9.600000,58.350000,-90.000000,top
"D11","1N4148WS","SOD-323",17.500000,30.500000,180.000000,top
"F1","12H1500D","PAD-1206-PAD",10.200000,66.500000,-90.000000,top
"G2","LOGO","PRO_LOGO",58.200000,69.300000,90.000000,top
"J1","6437288-1","TE_6437288-1",31.550000,68.500000,180.000000,top
"J2","USB","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",12.400000,33.800000,180.000000,top
"M1","Module:mega-mcu100/0.3","mega-mcu100",60.275005,43.975005,180.000000,top
"M2","Module-power_12and5V-0.2","power_12and5V",2.224999,8.724999,0.000000,top
"R1","4.7k","R0603",12.200000,47.750000,0.000000,top
"R2","4.7k","R0603",15.100000,47.750000,180.000000,top
"R3","4.7k","R0603",17.900000,47.750000,0.000000,top
"R4","4.7k","R0603",20.800000,47.750000,180.000000,top
"R5","4.7k","R0603",23.700000,47.700000,180.000000,top
"R6","4.7k","R0603",29.500000,47.750000,0.000000,top
"R7","4.7k","R0603",26.600000,47.700000,0.000000,top
"R8","4.7k","R0603",32.400000,47.750000,180.000000,top
"R9","4.7k","R0603",6.400000,47.750000,0.000000,top
"R10","4.7k","R0603",9.300000,47.750000,180.000000,top
"R11","33k","R0603",9.600000,73.100000,-90.000000,top
"R12","6.8k","R0603",10.900000,73.100000,90.000000,top
"R13","0","R0805",21.500000,10.300000,-90.000000,top
"R14","2k7","R0805",48.323784,58.792500,90.000000,top
"R15","2k7","R0805",45.820856,58.792500,90.000000,top
"R16","2k7","R0805",43.317928,58.792500,90.000000,top
"R17","2k7","R0805",40.815000,58.792500,90.000000,top
"R18","2k7","R0805",59.718784,58.680021,90.000000,top
"R19","2k7","R0805",57.215856,58.680021,90.000000,top
"R20","2k7","R0805",54.712928,58.680021,90.000000,top
"R21","2k7","R0805",52.210000,58.680021,90.000000,top
"U1","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",13.665000,52.225000,90.000000,top
"U2","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",19.365000,52.225000,90.000000,top
"U3","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",25.165000,52.225000,90.000000,top
"U4","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",30.965000,52.225000,90.000000,top
"U5","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",7.865000,52.225000,90.000000,top
"U6","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",44.415000,52.105000,-90.000000,top
"U7","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",55.725000,52.130000,-90.000000,top
